,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLES PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,72,19,0.582,0.091,11.706,0.312,4.807,11.706,310,1035,2.108,2,7.447
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,40,11,0.569,0.151,13.48,0.407,5.555,13.48,137,355,2.258,3,7.513
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,23,20,0.07,0.066,8.784,0.34,3.65,8.784,221,686,2.137,3,6.782
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,39,24,0.238,0.081,13.119,0.371,5.396,13.119,287,822,2.204,7,7.018
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,39,24,0.238,0.081,13.119,0.371,5.396,13.119,287,822,2.204,7,7.018
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,42,11,0.585,0.08,10.231,0.385,4.246,10.231,256,692,2.251,3,7.138
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,37,6,0.721,0.066,12.96,0.38,5.336,12.96,246,706,2.247,1,7.279
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,57,5,0.839,0.063,10.229,0.393,4.249,10.229,386,1044,2.226,4,7.009
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,8,0,1.0,0.03,10.52,0.285,4.322,10.52,75,271,2.106,1,6.688
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,25,36,-0.18,0.098,12.216,0.392,5.043,12.216,244,644,2.27,6,7.222
